iter	Passed	Remaining
0	139	139221
1	141	70389
2	142	47426
3	144	35955
4	146	29240
5	151	25082
6	153	21708
7	154	19199
8	156	17234
9	158	15665
10	161	14547
11	165	13642
12	170	12915
13	174	12304
14	177	11628
15	181	11148
16	184	10687
17	186	10197
18	189	9785
19	192	9425
20	195	9129
21	198	8811
22	200	8520
23	202	8237
24	204	7984
25	208	7822
26	210	7595
27	212	7389
28	215	7207
29	217	7030
30	222	6941
31	223	6772
32	225	6610
33	227	6458
34	228	6313
35	230	6178
36	232	6053
37	234	5928
38	236	5817
39	237	5707
40	239	5601
41	241	5500
42	242	5407
43	244	5314
44	246	5238
45	249	5168
46	252	5127
47	255	5066
48	257	4994
49	260	4951
50	263	4898
51	265	4839
52	271	4845
53	273	4787
54	276	4749
55	278	4689
56	279	4626
57	281	4566
58	282	4509
59	284	4454
60	285	4400
61	288	4371
62	291	4332
63	293	4285
64	294	4237
65	296	4190
66	297	4142
67	299	4100
68	302	4085
69	304	4045
70	306	4013
71	308	3975
72	310	3936
73	312	3906
74	314	3875
75	316	3853
76	318	3821
77	320	3786
78	321	3752
79	323	3719
80	325	3688
81	326	3658
82	329	3635
83	331	3617
84	333	3590
85	335	3562
86	336	3533
87	338	3506
88	339	3479
89	341	3452
90	343	3429
91	346	3420
92	348	3396
93	350	3374
94	351	3351
95	354	3334
96	355	3312
97	358	3296
98	361	3286
99	362	3262
100	364	3241
101	365	3218
102	367	3197
103	368	3178
104	371	3165
105	374	3156
106	376	3143
107	378	3122
108	380	3106
109	381	3088
110	383	3069
111	387	3073
112	389	3059
113	391	3041
114	392	3024
115	394	3008
116	396	2991
117	398	2975
118	400	2967
119	403	2957
120	404	2936
121	405	2919
122	407	2904
123	408	2888
124	410	2872
125	412	2858
126	412	2837
127	416	2836
128	418	2824
129	420	2814
130	426	2832
131	434	2857
132	437	2848
133	439	2840
134	441	2831
135	445	2832
136	448	2823
137	449	2810
138	451	2799
139	453	2787
140	458	2791
141	460	2782
142	468	2808
143	469	2792
144	472	2783
145	476	2788
146	482	2798
147	488	2812
148	490	2801
149	492	2791
150	494	2780
151	497	2773
152	502	2783
153	504	2772
154	508	2773
155	512	2770
156	518	2781
157	520	2771
158	522	2761
159	525	2761
160	532	2777
161	534	2766
162	536	2756
163	539	2748
164	541	2738
165	542	2728
166	545	2722
167	547	2711
168	549	2702
169	552	2695
170	554	2688
171	556	2679
172	560	2677
173	562	2670
174	564	2661
175	565	2649
176	568	2641
177	570	2635
178	575	2637
179	577	2630
180	579	2620
181	580	2611
182	583	2603
183	586	2600
184	588	2592
185	590	2583
186	592	2574
187	594	2566
188	596	2557
189	598	2552
190	601	2547
191	603	2540
192	605	2532
193	607	2524
194	609	2517
195	612	2511
196	614	2503
197	616	2495
198	618	2488
199	620	2481
200	622	2475
201	624	2468
202	627	2462
203	629	2456
204	631	2448
205	633	2443
206	635	2435
207	637	2427
208	639	2421
209	642	2415
210	644	2410
211	646	2404
212	648	2397
213	650	2388
214	652	2383
215	654	2376
216	657	2370
217	660	2368
218	662	2363
219	664	2355
220	666	2348
221	668	2342
222	670	2335
223	672	2329
224	675	2325
225	677	2321
226	680	2317
227	682	2312
228	684	2305
229	688	2304
230	690	2298
231	693	2296
232	695	2290
233	697	2283
234	699	2277
235	703	2276
236	705	2271
237	708	2267
238	710	2261
239	712	2257
240	716	2256
241	719	2252
242	722	2251
243	725	2249
244	728	2243
245	730	2239
246	732	2234
247	735	2229
248	737	2223
249	739	2218
250	741	2214
251	746	2214
252	748	2210
253	752	2210
254	755	2206
255	758	2203
256	761	2200
257	763	2195
258	765	2189
259	767	2183
260	769	2179
261	771	2172
262	773	2166
263	775	2161
264	778	2158
265	780	2153
266	783	2151
267	786	2147
268	788	2143
269	793	2145
270	795	2140
271	799	2138
272	803	2140
273	807	2139
274	810	2137
275	812	2131
276	814	2125
277	816	2120
278	819	2118
279	822	2113
280	824	2109
281	826	2103
282	829	2102
283	834	2103
284	837	2101
285	839	2095
286	841	2090
287	843	2085
288	845	2080
289	847	2074
290	849	2069
291	852	2066
292	854	2062
293	856	2057
294	858	2052
295	861	2048
296	863	2043
297	865	2039
298	867	2034
299	869	2029
300	872	2025
301	875	2023
302	879	2023
303	882	2019
304	884	2015
305	887	2012
306	892	2013
307	895	2012
308	898	2009
309	901	2006
310	903	2001
311	906	1998
312	908	1993
313	911	1991
314	914	1988
315	917	1986
316	919	1981
317	921	1977
318	923	1972
319	926	1968
320	929	1965
321	931	1961
322	933	1956
323	935	1951
324	937	1946
325	939	1942
326	942	1938
327	944	1935
328	947	1932
329	949	1928
330	951	1924
331	955	1923
332	959	1920
333	961	1916
334	963	1912
335	967	1912
336	975	1918
337	979	1918
338	981	1913
339	983	1908
340	986	1906
341	988	1902
342	991	1898
343	993	1894
344	995	1890
345	997	1885
346	1000	1882
347	1003	1879
348	1007	1880
349	1010	1877
350	1013	1873
351	1016	1871
352	1022	1873
353	1029	1878
354	1032	1875
355	1034	1871
356	1036	1866
357	1038	1862
358	1040	1857
359	1043	1855
360	1046	1851
361	1049	1849
362	1052	1846
363	1055	1844
364	1057	1839
365	1059	1835
366	1061	1830
367	1063	1825
368	1065	1821
369	1067	1817
370	1069	1813
371	1072	1810
372	1075	1807
373	1078	1805
374	1080	1801
375	1083	1797
376	1085	1794
377	1088	1790
378	1092	1790
379	1095	1786
380	1097	1783
381	1100	1779
382	1102	1776
383	1105	1773
384	1107	1769
385	1110	1767
386	1113	1763
387	1117	1762
388	1120	1759
389	1122	1755
390	1124	1751
391	1127	1748
392	1129	1744
393	1131	1740
394	1134	1737
395	1141	1741
396	1144	1738
397	1148	1736
398	1150	1733
399	1153	1729
400	1155	1725
401	1157	1721
402	1159	1718
403	1161	1714
404	1164	1711
405	1167	1707
406	1169	1703
407	1170	1699
408	1173	1695
409	1176	1693
410	1180	1691
411	1183	1688
412	1186	1685
413	1188	1681
414	1190	1677
415	1191	1673
416	1193	1669
417	1196	1665
418	1199	1663
419	1201	1659
420	1205	1657
421	1207	1653
422	1209	1650
423	1212	1646
424	1214	1643
425	1218	1641
426	1220	1638
427	1222	1634
428	1226	1633
429	1229	1629
430	1232	1626
431	1235	1623
432	1241	1625
433	1243	1621
434	1245	1618
435	1248	1615
436	1258	1621
437	1262	1619
438	1264	1615
439	1267	1613
440	1271	1611
441	1275	1610
442	1278	1607
443	1281	1605
444	1284	1601
445	1287	1599
446	1290	1596
447	1292	1592
448	1294	1588
449	1296	1584
450	1298	1580
451	1300	1576
452	1302	1572
453	1304	1568
454	1306	1565
455	1308	1561
456	1316	1563
457	1320	1562
458	1322	1558
459	1324	1554
460	1327	1551
461	1329	1547
462	1331	1543
463	1333	1540
464	1335	1537
465	1337	1533
466	1340	1530
467	1343	1527
468	1346	1524
469	1347	1520
470	1350	1516
471	1352	1513
472	1355	1510
473	1357	1506
474	1360	1503
475	1362	1499
476	1364	1495
477	1365	1491
478	1367	1487
479	1370	1484
480	1372	1480
481	1374	1476
482	1376	1473
483	1378	1469
484	1380	1465
485	1382	1462
486	1384	1458
487	1387	1455
488	1388	1451
489	1390	1447
490	1393	1444
491	1395	1440
492	1398	1438
493	1401	1435
494	1403	1431
495	1406	1428
496	1408	1425
497	1412	1423
498	1415	1421
499	1418	1418
500	1420	1414
501	1422	1411
502	1424	1407
503	1426	1403
504	1428	1399
505	1433	1399
506	1434	1395
507	1436	1391
508	1439	1388
509	1441	1385
510	1453	1391
511	1455	1387
512	1458	1384
513	1460	1380
514	1462	1377
515	1464	1373
516	1466	1370
517	1469	1367
518	1475	1367
519	1479	1365
520	1481	1362
521	1484	1359
522	1492	1360
523	1494	1357
524	1497	1354
525	1498	1350
526	1500	1346
527	1502	1342
528	1504	1339
529	1506	1335
530	1508	1332
531	1509	1328
532	1511	1324
533	1513	1320
534	1516	1317
535	1517	1313
536	1519	1310
537	1522	1307
538	1524	1303
539	1526	1300
540	1528	1296
541	1535	1297
542	1537	1293
543	1545	1295
544	1547	1292
545	1549	1288
546	1567	1297
547	1569	1294
548	1571	1291
549	1573	1287
550	1576	1284
551	1579	1281
552	1581	1278
553	1584	1275
554	1589	1274
555	1598	1276
556	1601	1273
557	1607	1273
558	1609	1269
559	1612	1266
560	1615	1264
561	1618	1261
562	1621	1258
563	1629	1259
564	1631	1255
565	1633	1252
566	1636	1249
567	1640	1247
